game_id,season_yr,game_date,team_schedule,win_flag,wins_to_date,losses_to_date,home_flag,home_team,home_score,away_team,away_score,model1_game_pick,model1_game_pick_correct_flag,model1_game_win_flag,model1_game_loss_flag,model2_game_pick,model2_game_pick_correct_flag,model2_game_win_flag,model2_game_loss_flag,model3_game_pick,model3_game_pick_correct_flag,model3_game_win_flag,model3_game_loss_flag,model4_game_pick,model4_game_pick_correct_flag,model4_game_win_flag,model4_game_loss_flag,model3_this_t_mu,model3_this_t_sigma,model3_this_t_wt_pick,model3_other_t_mu,model3_other_t_sigma,model3_other_t_wt_pick,model4_this_t_mu,model4_this_t_sigma,model4_this_t_wt_pick,model4_other_t_mu,model4_other_t_sigma,model4_other_t_wt_pick
400489677,2014,02/19/2014,ATL,0,25,28,1,ATL,97,WSH,114,WSH,1,0,1,WSH,1,0,1,ATL,0,1,0,WSH,1,0,1,43.0,28.0,29.0801189594,48.0,14.0,21.8913724278,43.0,28.0,16.8229145278,48.0,14.0,61.5572185135
400489692,2014,02/21/2014,ATL,0,25,29,0,DET,115,ATL,107,ATL,0,1,0,ATL,0,1,0,DET,1,0,1,DET,1,0,1,39.0,28.0,-46.3686674983,39.0,22.0,50.1900297166,39.0,28.0,-1.39336817478,39.0,22.0,37.6541013399
400489700,2014,02/22/2014,ATL,1,26,29,1,ATL,107,NY,98,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,NY,0,0,1,43.0,28.0,122.950409746,39.0,9.0,51.4634202404,43.0,28.0,51.142741723,39.0,9.0,55.9083384205
400489722,2014,02/25/2014,ATL,0,26,30,1,ATL,103,CHI,107,CHI,1,0,1,CHI,1,0,1,ATL,0,1,0,CHI,1,0,1,43.0,28.0,97.3048471989,54.0,10.0,56.625348531,43.0,28.0,21.3777458033,54.0,10.0,56.0938934646
400489727,2014,02/26/2014,ATL,0,26,31,0,BOS,115,ATL,104,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,39.0,28.0,59.8585217586,29.0,27.0,22.3171055987,39.0,28.0,77.6561032514,29.0,27.0,20.502323584
400489762,2014,03/02/2014,ATL,0,26,32,0,PHX,129,ATL,120,PHX,1,0,1,PHX,1,0,1,PHX,1,0,1,ATL,0,1,0,39.0,28.0,32.9009531682,45.0,8.0,47.6087430149,39.0,28.0,55.3852575363,45.0,8.0,52.6659124744
400489786,2014,03/05/2014,ATL,0,26,33,0,POR,102,ATL,78,POR,1,0,1,POR,1,0,1,POR,1,0,1,ATL,0,1,0,39.0,28.0,44.9746258763,51.0,4.0,49.0298578251,39.0,28.0,80.0866439341,51.0,4.0,58.7019354203
400489800,2014,03/07/2014,ATL,0,26,34,0,GS,111,ATL,97,GS,1,0,1,GS,1,0,1,GS,1,0,1,GS,1,0,1,39.0,28.0,7.89043404168,53.0,23.0,56.8120684104,39.0,28.0,20.3758508921,53.0,23.0,65.0181959719
400489806,2014,03/08/2014,ATL,0,26,35,0,LAC,109,ATL,108,LAC,1,0,1,LAC,1,0,1,LAC,1,0,1,LAC,1,0,1,39.0,28.0,26.4544953654,58.0,25.0,58.6155649432,39.0,28.0,32.62483966,58.0,25.0,129.313682284
400489821,2014,03/10/2014,ATL,1,27,35,0,UTAH,110,ATL,112,ATL,1,1,0,ATL,1,1,0,UTAH,0,0,1,UTAH,0,0,1,39.0,28.0,31.6135834943,28.0,13.0,34.8228980497,39.0,28.0,16.3073570411,28.0,13.0,28.9041946579
400489842,2014,03/13/2014,ATL,1,28,35,1,ATL,102,MIL,97,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,MIL,0,0,1,43.0,28.0,20.5549404796,23.0,3.0,19.1349731594,43.0,28.0,3.36232237797,23.0,3.0,22.8897425068
400489856,2014,03/15/2014,ATL,1,29,35,1,ATL,97,DEN,92,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,43.0,28.0,53.6765282849,39.0,2.0,39.5160569779,43.0,28.0,54.6754015345,39.0,2.0,36.8123582778
400489869,2014,03/17/2014,ATL,1,30,35,0,CHA,83,ATL,97,CHA,0,0,1,CHA,0,0,1,ATL,1,1,0,ATL,1,1,0,39.0,28.0,59.4646864631,48.0,17.0,57.5972320386,39.0,28.0,32.9526040841,48.0,17.0,26.0931419987
400489877,2014,03/18/2014,ATL,1,31,35,1,ATL,118,TOR,113,TOR,0,0,1,TOR,0,0,1,TOR,0,0,1,ATL,1,1,0,43.0,28.0,39.5482309183,48.0,24.0,91.6390847795,43.0,28.0,59.9781225803,48.0,24.0,48.9459811889
400489898,2014,03/21/2014,ATL,0,31,36,1,ATL,105,NO,111,NO,1,0,1,ATL,0,1,0,ATL,0,1,0,NO,1,0,1,43.0,28.0,45.895264048,40.0,6.0,34.2380315889,43.0,28.0,46.5619145651,40.0,6.0,52.0019704365
